FireYear,Plot,SiteType,Day,Month,Round,Transect,PlantCommonName,PlantLatinName,FlowerCount,PlantCount,OutsideTransectCount
2009,F4,Forest,8,7,1,North,paintbrush,Castilleja miniata,1,1,0
2009,F4,Forest,8,7,1,North,Bracted lousewort,Pedicularis bracteosa,8,3,0
2009,F4,Forest,8,7,1,North,Sitka valerian,Valeriana sitchensis,530,67,0
2009,F4,Forest,8,7,1,North,arctic lupin,Lupinus arcticus ,995,70,0
2009,F4,Forest,8,7,1,West,Sitka valerian,Valeriana sitchensis,54,8,0
2009,F4,Forest,8,7,1,West,pink mountain heather,Phyllodoce empetriformis,55,11,0
2009,F4,Forest,8,7,1,West,white mountain heather,Cassiope mertensiana,53,1,0
2009,F4,Forest,8,7,1,West,wooly hawkweed,Hieracium triste,2,2,0
2009,F4,Forest,8,7,1,West,Bracted lousewort,Pedicularis bracteosa,73,22,0
2009,F4,Forest,8,7,1,West,arctic lupin,Lupinus arcticus ,662,37,0
2009,F4,Forest,8,7,1,West,tiny vaccinium ,Vaccinium caespitosum,150,46,0
2009,F4,Forest,8,7,1,West,Diverse leaf cinquefoil,Potentilla diversifolia,5,4,0
2009,F4,Forest,8,7,1,West,Alpine American Speedwell,Veronica wormskjoldii,10,6,0
2009,S4,Fire,9,7,1,South,Yarrow,Achillea millefolium,509,29,7
2009,S4,Fire,9,7,1,South,Twinflower,Linnea borealis,15,9,7
2009,S4,Fire,9,7,1,South,small white hawkweed,Hieracium albiflorum,18,13,7
2009,S4,Fire,9,7,1,East,small white hawkweed,Hieracium albiflorum,11,6,7
2009,S4,Fire,9,7,1,East,arctic lupin,Lupinus arcticus ,15,7,7
2009,S4,Fire,9,7,1,East,Racemose pussytoes,Antennaria racemosa,9,2,7
2009,S4,Fire,9,7,1,East,Twinflower,Linnea borealis,11,6,7
2009,S4,Fire,9,7,1,East,tiny vaccinium ,Vaccinium caespitosum,57,41,7
2009,S4,Fire,9,7,1,West,arctic lupin,Lupinus arcticus ,172,34,7
2009,S4,Fire,9,7,1,West,Arnica,Arnica sp.,6,6,7
2009,S4,Fire,9,7,1,West,small white hawkweed,Hieracium albiflorum,3,2,7
2009,S4,Fire,9,7,1,West,Bunchberry,Cornus canadensis,33,33,7
2009,S4,Fire,9,7,1,West,Twinflower,Linnea borealis,11,3,7
2009,S4,Fire,9,7,1,West,Sitka valerian,Valeriana sitchensis,302,20,7
2009,S4,Fire,9,7,1,West,Bracted lousewort,Pedicularis bracteosa,38,8,7
2009,S4,Fire,9,7,1,West,Douglas Aster,Aster subspicatus,45,35,7
2009,S4,Fire,9,7,1,West,tiny vaccinium ,Vaccinium caespitosum,1,1,7
2009,S4,Fire,9,7,1,North,Pearly Everlasting,Anaphilis margaritacea,1,1,7
2009,S4,Fire,9,7,1,North,Racemose pussytoes,Antennaria racemosa,448,91,7
2009,S4,Fire,9,7,1,North,arctic lupin,Lupinus arcticus ,63,15,7
2009,S4,Fire,9,7,1,North,white hawkweed,Hieracium albiflorum,90,51,7
2009,S4,Fire,9,7,1,North,Alpine yellow Hawkweed,Hieracium umbellatum,2,2,7
2010,S4,Fire,9,7,1,West,Bunchberry,Cornus canadensis,54,54,3
2010,S4,Fire,9,7,1,West,Arnica,Arnica sp.,15,15,3
2010,S4,Fire,9,7,1,West,Twinflower,Linnea borealis,574,337,3
2010,S4,Fire,9,7,1,West,White flowered Rhododendron,Rhododendron albiflorum,257,8,3
2010,S4,Fire,9,7,1,West,white hawkweed,Hieracium albiflorum,12,7,3
2010,S4,Fire,9,7,1,South,Sitka valerian,Valeriana sitchensis,543,41,3
2010,S4,Fire,9,7,1,South,Arnica,Arnica sp.,81,81,3
2010,S4,Fire,9,7,1,South,White flowered Rhododendron,Rhododendron albiflorum,360,3,3
2010,S4,Fire,9,7,1,South,Yarrow,Achillea millefolium,271,9,3
2010,S4,Fire,9,7,1,South,Douglas Aster,Aster subspicatus,14,7,3
2010,S4,Fire,9,7,1,South,Sitka burnet,Sanguisorba sitchensis,15,1,3
2010,S4,Fire,9,7,1,South,Bunchberry,Cornus canadensis,304,304,3
2010,S4,Fire,9,7,1,South,Twinflower,Linnea borealis,93,6,3
2010,S4,Fire,9,7,1,South,white hawkweed,Hieracium albiflorum,4,1,3
2010,S4,Fire,9,7,1,East,Fireweed,Chamaenerion angustifolium,7,2,3
2010,S4,Fire,9,7,1,East,alpine hawkweed,Hieracium umbellatum,2,1,3
2010,S4,Fire,9,7,1,East,white hawkweed,Hieracium albiflorum,12,3,3
2010,S4,Fire,9,7,1,East,Yarrow,Achillea millefolium,42,5,3
2010,S4,Fire,9,7,1,East,Bunchberry,Cornus canadensis,216,216,3
2010,S4,Fire,9,7,1,East,arnica,Arnica sp.,113,113,3
2010,S4,Fire,9,7,1,East,White flowered Rhododendron,Rhododendron albiflorum,336,10,3
2010,S4,Fire,9,7,1,North,White flowered Rhododendron,Rhododendron albiflorum,1460,22,3
2010,S4,Fire,9,7,1,North,arnica,Arnica sp.,49,49,3
2010,S4,Fire,9,7,1,North,Bunchberry,Cornus canadensis,74,74,3
2010,S4,Fire,9,7,1,North,Wild raspberry,Rubus idaeus,42,3,3
2010,S4,Fire,9,7,1,North,Twinflower,Linnea borealis,283,3,3
2010,S4,Fire,9,7,1,North,Fireweed,Chamaenerion angustifolium,2,2,3
2010,S4,Fire,9,7,1,North,white hawkweed,Hieracium albiflorum,42,22,3
2009,F1,Forest,20,7,2,South,Sitka valerian,Valeriana sitchensis,421,19,0
2009,F1,Forest,20,7,2,South,Subalpine daisy,Erigeron peregrinus,1,1,0
2009,F1,Forest,20,7,2,South,Bracted lousewort,Pedicularis bracteosa,15,2,0
2009,F1,Forest,20,7,2,South,arctic lupin,Lupinus arcticus ,12,3,0
2009,F1,Forest,20,7,2,South,arnica,Arnica sp.,50,44,0
2009,F1,Forest,20,7,2,East,Norwegian mugwort ,Artemisia norvegica,68,4,0
2009,F1,Forest,20,7,2,East,arctic lupin,Lupinus arcticus ,4,1,0
2009,F1,Forest,20,7,2,East,Bracted lousewort,Pedicularis bracteosa,1,1,0
2009,F1,Forest,20,7,2,East,arnica,Arnica sp.,1,1,0
2009,F1,Forest,20,7,2,East,Northern Golden-rod,Solidago multiradiata,2,2,0
2009,F1,Forest,20,7,2,East,Yarrow,Achillea millefolium,62,6,0
2009,F1,Forest,20,7,2,East,Subalpine daisy,Erigeron peregrinus,6,6,0
2009,F1,Forest,20,7,2,East,Small flowered penstemon,Penstemon procerus,64,13,0
2009,F1,Forest,20,7,2,East,Sitka valerian,Valeriana sitchensis,2,1,0
2009,F1,Forest,20,7,2,West,Small flowered penstemon,Penstemon procerus,16,2,0
2009,F1,Forest,20,7,2,West,Sitka valerian,Valeriana sitchensis,388,20,0
2009,F1,Forest,20,7,2,West,Racemose pussytoes,Antennaria racemosa,1,1,0
2009,F1,Forest,20,7,2,West,Arnica,Arnica sp.,34,32,0
2009,F1,Forest,20,7,2,West,Bracted lousewort,Pedicularis bracteosa,8,1,0
2009,F1,Forest,20,7,2,West,arctic lupin,Lupinus arcticus ,14,3,0
2009,F1,Forest,20,7,2,West,Subalpine daisy,Erigeron peregrinus,3,3,0
2009,F1,Forest,20,7,2,North,Bracted lousewort,Pedicularis bracteosa,38,3,0
2009,F1,Forest,20,7,2,North,Sitka valerian,Valeriana sitchensis,1252,92,0
2009,F1,Forest,20,7,2,North,Racemose pussytoes,Antennaria racemosa,2,1,0
2009,F1,Forest,20,7,2,North,Subalpine daisy,Erigeron peregrinus,9,7,0
2009,F1,Forest,20,7,2,North,Arnica,Arnica sp.,109,90,0
2009,S2,Fire,20,7,2,West,Arnica,Arnica sp.,12,9,2
2009,S2,Fire,20,7,2,West,Arrowleaf Senecio,Senecio triangularis,9,3,2
2009,S2,Fire,20,7,2,West,white hawkweed,Hieracium albiflorum,6,2,2
2009,S2,Fire,20,7,2,North,white hawkweed,Hieracium albiflorum,5,4,2
2009,S2,Fire,20,7,2,North,Orange hawkweed,Agoseris aurantica,1,1,2
2009,S2,Fire,20,7,2,North,Yarrow,Achillea millefolium,202,21,2
2009,S2,Fire,20,7,2,North,arctic lupin,Lupinus arcticus ,7,3,2
2009,S2,Fire,20,7,2,North,Arnica,Arnica sp.,7,7,2
2009,S2,Fire,20,7,2,South,Bracted lousewort,Pedicularis bracteosa,19,2,2
2009,S2,Fire,20,7,2,South,Pale agoseris,Agoseris glauca ,1,1,2
2009,S2,Fire,20,7,2,South,Orange hawkweed,Agoseris aurantica,18,16,2
2009,S2,Fire,20,7,2,South,Arnica,Arnica sp.,13,10,2
2009,S2,Fire,20,7,2,South,paintbrush,Castilleja miniata,9,3,2
2009,S2,Fire,20,7,2,South,Diverse leaf cinquefoil,Potentilla diversifolia,2,1,2
2009,S2,Fire,20,7,2,South,arctic lupin,Lupinus arcticus ,5,2,2
2009,S2,Fire,20,7,2,South,Subalpine daisy,Erigeron peregrinus,9,9,2
2009,S2,Fire,20,7,2,South,Yarrow,Achillea millefolium,475,28,2
